{DEBUG}  CoreLogging  CoreLogging.java  28  Logging Provider: org.jboss.logging.Log4jLoggerProvider  07-Mar-2021 Sunday PST 19:49:14
{DEBUG}  IntegratorServiceImpl  IntegratorServiceImpl.java  46  Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].  07-Mar-2021 Sunday PST 19:49:14
{DEBUG}  IntegratorServiceImpl  IntegratorServiceImpl.java  46  Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].  07-Mar-2021 Sunday PST 19:49:14
{DEBUG}  IntegratorServiceImpl  IntegratorServiceImpl.java  46  Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.resource.transaction.spi.TransactionCoordinatorBuilder] : [jdbc] -> [org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorBuilderImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.resource.transaction.spi.TransactionCoordinatorBuilder] : [jta] -> [org.hibernate.resource.transaction.backend.jta.internal.JtaTransactionCoordinatorBuilderImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.resource.transaction.spi.TransactionCoordinatorBuilder] : [org.hibernate.transaction.JDBCTransactionFactory] -> [org.hibernate.resource.transaction.backend.jdbc.internal.JdbcResourceLocalTransactionCoordinatorBuilderImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.resource.transaction.spi.TransactionCoordinatorBuilder] : [org.hibernate.transaction.JTATransactionFactory] -> [org.hibernate.resource.transaction.backend.jta.internal.JtaTransactionCoordinatorBuilderImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.resource.transaction.spi.TransactionCoordinatorBuilder] : [org.hibernate.transaction.CMTTransactionFactory] -> [org.hibernate.resource.transaction.backend.jta.internal.JtaTransactionCoordinatorBuilderImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.hql.spi.id.MultiTableBulkIdStrategy] : [persistent] -> [org.hibernate.hql.spi.id.persistent.PersistentTableBulkIdStrategy]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.hql.spi.id.MultiTableBulkIdStrategy] : [global_temporary] -> [org.hibernate.hql.spi.id.global.GlobalTemporaryTableBulkIdStrategy]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.hql.spi.id.MultiTableBulkIdStrategy] : [local_temporary] -> [org.hibernate.hql.spi.id.local.LocalTemporaryTableBulkIdStrategy]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.boot.model.naming.ImplicitNamingStrategy] : [default] -> [org.hibernate.boot.model.naming.ImplicitNamingStrategyJpaCompliantImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.boot.model.naming.ImplicitNamingStrategy] : [jpa] -> [org.hibernate.boot.model.naming.ImplicitNamingStrategyJpaCompliantImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.boot.model.naming.ImplicitNamingStrategy] : [legacy-jpa] -> [org.hibernate.boot.model.naming.ImplicitNamingStrategyLegacyJpaImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.boot.model.naming.ImplicitNamingStrategy] : [legacy-hbm] -> [org.hibernate.boot.model.naming.ImplicitNamingStrategyLegacyHbmImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.boot.model.naming.ImplicitNamingStrategy] : [component-path] -> [org.hibernate.boot.model.naming.ImplicitNamingStrategyComponentPathImpl]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.CacheKeysFactory] : [default] -> [org.hibernate.cache.internal.DefaultCacheKeysFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.CacheKeysFactory] : [simple] -> [org.hibernate.cache.internal.SimpleCacheKeysFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [ehcache] -> [org.hibernate.cache.ehcache.internal.EhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [org.hibernate.cache.ehcache.internal.EhcacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.EhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [EhcacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.EhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [org.hibernate.cache.EhCacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.EhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [org.hibernate.cache.ehcache.EhCacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.EhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [ehcache-singleton] -> [org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [SingletonEhcacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [org.hibernate.cache.SingletonEhCacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  StrategySelectorImpl  StrategySelectorImpl.java  85  Registering named strategy selector [org.hibernate.cache.spi.RegionFactory] : [org.hibernate.cache.ehcache.SingletonEhCacheRegionFactory] -> [org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]  07-Mar-2021 Sunday PST 19:49:14
{INFO}  Version  Version.java  44  HHH000412: Hibernate ORM core version 5.4.28.Final  07-Mar-2021 Sunday PST 19:49:14
{DEBUG}  Environment  Environment.java  199  HHH000206: hibernate.properties not found  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  ClassLoaderServiceImpl  ClassLoaderServiceImpl.java  182  trying via [new URL("hibernate.cfg.xml")]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  ClassLoaderServiceImpl  ClassLoaderServiceImpl.java  193  trying via [ClassLoader.getResourceAsStream("hibernate.cfg.xml")]  07-Mar-2021 Sunday PST 19:49:14
{TRACE}  LocalXmlResourceResolver  LocalXmlResourceResolver.java  35  In resolveEntity(-//Hibernate/Hibernate Configuration DTD 3.0//EN, http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd, null, null)  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  LocalXmlResourceResolver  LocalXmlResourceResolver.java  63  Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  LocalXmlResourceResolver  LocalXmlResourceResolver.java  91  Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  JaxbCfgProcessor  JaxbCfgProcessor.java  117  cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  Configuration  Configuration.java  722  Building session factory using internal StandardServiceRegistryBuilder  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  ServiceBinding  ServiceBinding.java  68  Overriding existing service binding [org.hibernate.secure.spi.JaccService]  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  Configuration  Configuration.java  652  Building session factory using provided StandardServiceRegistry  07-Mar-2021 Sunday PST 19:49:15
{TRACE}  AbstractServiceRegistryImpl  AbstractServiceRegistryImpl.java  233  Initializing service [role=org.hibernate.engine.config.spi.ConfigurationService]  07-Mar-2021 Sunday PST 19:49:15
{TRACE}  AbstractServiceRegistryImpl  AbstractServiceRegistryImpl.java  233  Initializing service [role=org.hibernate.cache.spi.RegionFactory]  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  RegionFactoryInitiator  RegionFactoryInitiator.java  118  Cannot default RegionFactory based on registered strategies as `[class org.hibernate.cache.ehcache.internal.EhcacheRegionFactory, class org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]` RegionFactory strategies were registered  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  RegionFactoryInitiator  RegionFactoryInitiator.java  49  Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory  07-Mar-2021 Sunday PST 19:49:15
{INFO}  JavaReflectionManager  JavaReflectionManager.java  56  HCANN000001: Hibernate Commons Annotations {5.1.2.Final}  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration boolean -> org.hibernate.type.BooleanType@2b95e48b  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration boolean -> org.hibernate.type.BooleanType@2b95e48b  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2b95e48b  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@12bfd80d  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration true_false -> org.hibernate.type.TrueFalseType@3f053c80  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration yes_no -> org.hibernate.type.YesNoType@13c3c1e1  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration byte -> org.hibernate.type.ByteType@2c88b9fc  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration byte -> org.hibernate.type.ByteType@2c88b9fc  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2c88b9fc  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration character -> org.hibernate.type.CharacterType@3d484181  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration char -> org.hibernate.type.CharacterType@3d484181  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3d484181  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration short -> org.hibernate.type.ShortType@11eadcba  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration short -> org.hibernate.type.ShortType@11eadcba  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration java.lang.Short -> org.hibernate.type.ShortType@11eadcba  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration integer -> org.hibernate.type.IntegerType@5827af16  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration int -> org.hibernate.type.IntegerType@5827af16  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5827af16  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration long -> org.hibernate.type.LongType@12dae582  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration long -> org.hibernate.type.LongType@12dae582  07-Mar-2021 Sunday PST 19:49:15
{DEBUG}  BasicTypeRegistry  BasicTypeRegistry.java  157  Adding type registration java.lang.Long -> org.hibernate.type.LongType@12dae582  07-Mar-2021 Sunday PST 19:49:15
